num_layer,port,train_fitted,train_real,train_MAPE,train_RMSE,test_results,test_real,test_MAPE,test_RMSE
3,Hong Kong(10kTEU),"[2453.44722128 2452.78555686 2249.34630702 2453.8302202  2454.89880712
 2451.63899677 2277.27731729 2303.00418243 2042.18686543 2040.73382128
 2040.70007721]","[2399.80001549 2449.4        2104.00000765 2369.89999795 2438.39998602
 2311.70000049 2236.69999577 2222.59999429 2006.99999342 1981.00000064
 2075.99999555]",2.859463982248926,76.91679650221053,[2050.90380121 2043.13773574 2042.1027083 ],[1960.0000008  1830.         2006.99999342],6.011278001496169,135.3063141163619
3,Busan(10kTEU),"[1315.46613699 1331.89707566 1345.73852642 1441.01889852 1477.77863303
 1748.51050792 1894.07372537 2022.26312355 2066.35209098 2093.60198762
 2122.87342876]","[1327.00000662 1345.19999227 1197.99999926 1419.40000476 1618.39999484
 1704.59999856 1768.59999348 1867.80002941 1944.99997714 1984.9999896
 2048.99998453]",5.24165149617697,102.64106349033204,[2143.18204482 2156.31548257 2171.32548327],[2166.00002413 2199.         2158.99998753],1.188479464709413,28.836007892615722
3,Guangzhou(10kTEU),"[1283.70106313 1343.64798981 1425.25623232 1517.2695899  1582.76915431
 1670.37128764 1734.78663695 1794.95505142 1870.96509945 1923.58166528
 2036.60636795]","[1025.69998002 1100.09997991 1118.99997437 1255.00001121 1425.99998939
 1474.30000824 1530.90002811 1660.00002831 1721.99997872 1885.00002462
 2037.00004482]",13.819701391332499,198.84686886491448,[2139.52436119 2252.25707299 2352.65643704],[2186.99996316 2323.         2319.00003386],2.2224894050774204,52.887452766631334
3,Qingdao(10kTEU),"[1051.69135922 1105.86435312 1151.79331815 1187.1287179  1350.63610274
 1479.12072289 1663.01696873 1777.10605562 1876.24815154 1940.68283117
 1983.9078697 ]","[ 946.19998783 1032.00002313 1026.00001258 1201.20000911 1301.99999541
 1450.3000108  1551.99996603 1658.00003517 1747.00003254 1800.99997675
 1829.99996912]",6.851121506179751,105.4072047585962,[2010.22910917 2018.2067802  2094.51274884],[1826.00002909 2101.00000179 2200.        ],6.2749161744043676,131.55813879174536
3,Dubai(10kTEU),"[1148.42177394 1179.16335359 1198.57151932 1251.06297764 1348.270232
 1387.53106759 1475.65675554 1636.92455027 1664.91589228 1670.44164741
 1672.67592098]","[1079.10000219 1182.69998323 1109.99999672 1160.0000033  1300.00001064
 1327.00000532 1364.10002307 1524.89997416 1560.00000051 1573.
 1536.99998861]",6.190824405588691,90.88154493169212,[1669.74900154 1665.58436706 1654.78598799],[1495.00000304 1410.99997646 1350.00001722],17.436156329235462,250.49611599662262
3,Tianjin(10kTEU),"[ 951.72911456  992.1413355  1020.48525933 1102.84044254 1274.63050928
 1420.68480326 1510.70997946 1579.2473417  1625.06926489 1646.69481958
 1671.27383009]","[ 817.60000594  850.00000447  870.00000196 1008.00001497 1157.99997449
 1230.00000011 1300.99997604 1406.09996567 1410.99998389 1448.99996613
 1506.99998918]",13.959734919769431,166.6929068875844,[1684.41880058 1707.34206355 1736.37581722],[1600.00001866 1729.99998069 1835.        ],3.986831627394118,76.08469268016482
3,Rotterdam(10kTEU),"[1076.09576569 1091.90817032 1133.21968002 1184.82453461 1227.66318054
 1226.45673981 1259.47724762 1291.46189575 1292.01768494 1288.83960114
 1338.08429718]","[ 989.99999771 1080.00000572  974.30000381 1114.50000458 1187.60001755
 1186.49999542 1162.10001755 1229.79999619 1222.99998322 1237.99998779
 1372.99999008]",5.895242749816941,75.56370999444621,[1382.81357574 1501.99074554 1601.95801392],[1451.0000061  1482.         1435.00001678],5.894292748907961,104.76003054381121
3,Kelang(10kTEU),"[ 788.56015943  795.57949383  809.09184721  921.02950669 1003.85808753
 1040.3252129  1117.56669682 1177.68486007 1314.07624471 1467.9918005
 1524.66148632]","[ 731.19999919  796.99999663  730.90000623  887.00000743  960.29998049
 1000.00000919 1034.99999653 1094.60001312 1189.00002176 1319.99998015
 1373.        ]",7.224601919797575,89.62284917070052,[1547.60935407 1512.7557467  1554.40069685],[1232.00002354 1357.9999982  1323.99998738],18.138454733047514,242.65412843019996
3,Kaohsiung(10kTEU),"[ 988.11388123  975.0509922   906.61870077  963.67527363  967.51168382
 1010.23356786 1015.91650424 1018.21454635 1054.31461673 1060.41426692
 1060.40354567]","[ 920.00000145  967.70000134  858.1         918.10000091  963.599997
  978.10000181  993.79999561 1059.3        1025.99999986 1045.99999616
 1027.00000267]",3.269739405260305,36.27547972764033,[1059.68642087 1060.60557055 1061.56175294],[1045.00000534 1041.9999969   961.99999969],4.51347230227602,59.08863647703911
3,Dalian(10kTEU),"[ 472.56104329  487.56984836  485.6208944   487.98144352  550.30858189
  841.16413671 1034.70538855 1047.92627788 1045.43990123 1041.84568858
 1042.28139412]","[ 464.1999943   450.30000398  455.19999644  524.20000386  639.99999535
  805.9999876   991.20000392 1001.10001111  944.99998629  961.00001431
  970.00001216]",7.055159788941611,59.47608083730726,[1043.13103426 1043.08157218 1043.67759979],[ 976.99999458 1021.          654.00000793],22.838418229568806,228.5530834305174
